ann	stateNum	model
TSS	1	25state
TSS	98	fullStack
TSS	99	fullStack
promoter	9	25state
promoter	3	25state
promoter	4	25state
promoter	91	fullStack
promoter	92	fullStack
promoter	93	fullStack
promoter	94	fullStack
promoter	95	fullStack
promoter	96	fullStack
promoter	97	fullStack
dnase	19	25state
dnase	86	fullStack
promoter	2	25state
znf	20	25state
znf	84	fullStack
znf	85	fullStack
transcription	5	25state
transcription	6	25state
transcription	7	25state
transcription	72	fullStack
transcription	73	fullStack
transcription	74	fullStack
transcription	75	fullStack
transcription	76	fullStack
transcription	77	fullStack
transcription	78	fullStack
transcription	79	fullStack
transcription	80	fullStack
transcription	81	fullStack
transcription	82	fullStack
transcription	83	fullStack
transcription_weak	8	25state
transcription_weak	70	fullStack
transcription_weak	71	fullStack
transcribed_enhancer	10	25state
transcribed_enhancer	11	25state
transcribed_enhancer	12	25state
transcribed_enhancer	62	fullStack
transcribed_enhancer	63	fullStack
transcribed_enhancer	64	fullStack
transcribed_enhancer	65	fullStack
transcribed_enhancer	66	fullStack
transcribed_enhancer	67	fullStack
transcribed_enhancer	68	fullStack
transcribed_enhancer	69	fullStack
het	21	25state
het	8	fullStack
het	9	fullStack
het	10	fullStack
het	11	fullStack
het	12	fullStack
het	13	fullStack
het	14	fullStack
het	15	fullStack
het	16	fullStack
quiescent	25	25state
quiescent	3	fullStack
quiescent	4	fullStack
quiescent	5	fullStack
quiescent	6	fullStack
quiescent	7	fullStack
polycomb_repr	24	25state
polycomb_repr	17	fullStack
polycomb_repr	18	fullStack
polycomb_repr	19	fullStack
polycomb_repr	20	fullStack
polycomb_repr	21	fullStack
polycomb_repr	22	fullStack
polycomb_repr	23	fullStack
polycomb_repr	24	fullStack
polycomb_repr	25	fullStack
enhancer_weak	16	25state
enhancer_weak	17	25state
enhancer_weak	18	25state
enhancer_weak	34	fullStack
enhancer_weak	35	fullStack
enhancer_weak	36	fullStack
enhancer_weak	37	fullStack
enhancer_weak	38	fullStack
enhancer_weak	39	fullStack
enhancer_weak	40	fullStack
enhancer_weak	41	fullStack
enhancer	13	25state
enhancer	14	25state
enhancer	15	25state
enhancer	42	fullStack
enhancer	43	fullStack
enhancer	44	fullStack
enhancer	45	fullStack
enhancer	46	fullStack
enhancer	47	fullStack
enhancer	48	fullStack
enhancer	49	fullStack
enhancer	50	fullStack
enhancer	51	fullStack
enhancer	52	fullStack
enhancer	53	fullStack
enhancer	54	fullStack
enhancer	55	fullStack
enhancer	56	fullStack
enhancer	57	fullStack
enhancer	58	fullStack
enhancer	59	fullStack
enhancer	60	fullStack
enhancer	61	fullStack
promoter_weak	22	25state
promoter_weak	23	25state
promoter_weak	87	fullStack
promoter_weak	88	fullStack
promoter_weak	89	fullStack
promoter_weak	90	fullStack
